CCAA,GASTO_CONCIERTOS,AÑO,GASTO_PERC_PIB,GASTO_TOTAL,GASTO_HABITANTE,PUBLICA_HOSP,PRIVADA_HOSP,CONCIERTO_HOSP,OTRA_HOSP,PUBLICA_BEDS,PRIVADA_BEDS,CONCIERTO_BEDS,OTRA_BEDS
NAVARRA,53638.0,2008,4.9,916413.0,1473.0,6.0,1.0,6.0,,1379.0,13.0,1026.0,
PAÍS VASCO,242405.0,2008,5.0,3341272.0,1542.0,18.0,8.0,18.0,,5929.0,474.0,2060.0,
VALENCIA,390301.0,2008,5.7,6136590.0,1237.0,29.0,19.0,12.0,1.0,9241.0,1524.0,1967.0,260.0
ANDALUCÍA,411940.0,2007,6.0,8867511.0,1101.0,36.0,44.0,19.0,,15976.0,3500.0,2767.0,
ARAGÓN,66989.0,2007,5.1,1738781.0,1328.0,16.0,2.0,10.0,,4158.0,303.0,1000.0,
ASTURIAS,94853.0,2007,6.2,1423253.0,1333.0,8.0,5.0,7.0,,3140.0,199.0,949.0,
BALEARES,55683.0,2007,4.6,1209518.0,1180.0,4.0,6.0,12.0,,1299.0,506.0,1683.0,
CEUTA,,2007,,,,,1.0,1.0,,,163.0,50.0,
CEUTA,,2007,,78183.0,,,1.0,1.0,,,163.0,50.0,
CANARIAS,245723.0,2007,6.1,2509037.0,1275.0,9.0,10.0,28.0,,3506.0,651.0,4278.0,
CANTABRIA,65363.0,2007,6.4,825218.0,1441.0,4.0,,6.0,,1614.0,,835.0,
CASTILLA Y LEÓN,137765.0,2007,5.5,3073042.0,1215.0,11.0,7.0,21.0,,5680.0,706.0,3121.0,
CASTILLA-LA MANCHA,145064.0,2007,6.6,2530169.0,1263.0,14.0,5.0,9.0,,4458.0,216.0,683.0,
CATALUÑA,2711896.0,2007,4.4,8966701.0,1240.0,25.0,106.0,68.0,1.0,3070.0,11801.0,17666.0,250.0
EXTREMADURA,57778.0,2007,8.7,1526277.0,1406.0,8.0,5.0,7.0,,2938.0,187.0,1102.0,
GALICIA,206202.0,2007,6.2,3452597.0,1257.0,11.0,11.0,25.0,,7526.0,426.0,2568.0,
LA RIOJA,24744.0,2007,7.0,556373.0,1781.0,2.0,,3.0,,748.0,,207.0,
MELILLA,,2007,,,,1.0,,1.0,,172.0,,50.0,
MELILLA,,2007,,78764.0,,1.0,,1.0,,172.0,,50.0,
MADRID,408264.0,2007,3.5,6777571.0,1102.0,23.0,20.0,31.0,,12663.0,1999.0,6399.0,
MURCIA,125906.0,2007,6.3,1755530.0,1250.0,9.0,4.0,13.0,,2866.0,194.0,1479.0,
NAVARRA,45349.0,2007,4.7,826706.0,1356.0,6.0,1.0,6.0,,1360.0,13.0,1026.0,
PAÍS VASCO,215089.0,2007,4.7,3021762.0,1405.0,18.0,8.0,18.0,,5975.0,495.0,2053.0,
VALENCIA,336486.0,2007,5.4,5589768.0,1148.0,29.0,19.0,13.0,1.0,9233.0,1455.0,2040.0,269.0
ANDALUCÍA,347852.0,2006,6.0,8339228.0,1052.0,33.0,42.0,19.0,,16720.0,3088.0,2884.0,
ARAGÓN,63458.0,2006,5.1,1589130.0,1239.0,16.0,2.0,10.0,,4188.0,303.0,998.0,
ASTURIAS,93661.0,2006,6.2,1339114.0,1259.0,8.0,5.0,7.0,,3141.0,199.0,951.0,
BALEARES,53704.0,2006,4.4,1077552.0,1092.0,4.0,10.0,10.0,,1346.0,852.0,1379.0,
CEUTA,,2006,,,,,1.0,1.0,,,163.0,50.0,
CEUTA,,2006,,73283.0,,,1.0,1.0,,,163.0,50.0,
CANARIAS,229966.0,2006,5.9,2317742.0,1206.0,9.0,9.0,27.0,,3508.0,623.0,4174.0,
CANTABRIA,54357.0,2006,6.4,766157.0,1358.0,4.0,,6.0,,1603.0,,819.0,
CASTILLA Y LEÓN,137573.0,2006,6.1,3164216.0,1264.0,11.0,10.0,21.0,,5750.0,959.0,3084.0,
CASTILLA-LA MANCHA,147407.0,2006,6.7,2354915.0,1213.0,16.0,5.0,8.0,,4319.0,216.0,631.0,
CATALUÑA,2522128.0,2006,4.3,8070644.0,1140.0,23.0,104.0,70.0,1.0,2683.0,11770.0,17831.0,250.0
EXTREMADURA,54442.0,2006,8.3,1348811.0,1251.0,8.0,5.0,7.0,,2938.0,187.0,1102.0,
GALICIA,194877.0,2006,6.2,3231003.0,1182.0,11.0,11.0,25.0,,7557.0,426.0,2491.0,
LA RIOJA,22978.0,2006,6.2,455874.0,1495.0,2.0,,3.0,,766.0,,207.0,
MELILLA,,2006,,,,1.0,,1.0,,172.0,,50.0,
MELILLA,,2006,,69989.0,,1.0,,1.0,,172.0,,50.0,
MADRID,354917.0,2006,3.4,6139263.0,1023.0,23.0,18.0,31.0,,12637.0,2879.0,5341.0,
MURCIA,122022.0,2006,6.0,1566505.0,1146.0,9.0,4.0,12.0,,2673.0,192.0,1452.0,
NAVARRA,41125.0,2006,4.5,753309.0,1263.0,6.0,1.0,6.0,,1361.0,13.0,959.0,
PAÍS VASCO,185111.0,2006,4.5,2702510.0,1266.0,18.0,8.0,19.0,,6033.0,494.0,2117.0,
VALENCIA,341935.0,2006,5.2,5119756.0,1081.0,28.0,20.0,13.0,,9182.0,1447.0,2039.0,
