CCAA,GASTO_CONCIERTOS,AÑO,GASTO_PERC_PIB,GASTO_TOTAL,GASTO_HABITANTE,PUBLICA_HOSP,PRIVADA_HOSP,CONCIERTO_HOSP,OTRA_HOSP,PUBLICA_BEDS,PRIVADA_BEDS,CONCIERTO_BEDS,OTRA_BEDS
VALENCIA,278943.0,2017,6.3,6803893.0,1380.0,36.0,10.0,14.0,,10783.0,885.0,1484.0,
ANDALUCÍA,380143.0,2016,6.3,9331856.0,1110.0,46.0,45.0,17.0,,15089.0,3879.0,2010.0,
ARAGÓN,79774.0,2016,6.0,2036010.0,1546.0,17.0,2.0,10.0,,4085.0,337.0,871.0,
ASTURIAS,100692.0,2016,7.6,1641378.0,1583.0,9.0,5.0,6.0,,2764.0,165.0,833.0,
BALEARES,153284.0,2016,4.9,1466329.0,1283.0,7.0,6.0,11.0,,2036.0,544.0,1336.0,
CEUTA,,2016,,,,1.0,,,,252.0,,,
CEUTA,,2016,,114395.0,,1.0,,,,252.0,,,
CANARIAS,269703.0,2016,6.6,2792740.0,1304.0,9.0,7.0,22.0,,4175.0,361.0,3110.0,
CANTABRIA,30401.0,2016,6.6,842273.0,1449.0,3.0,1.0,3.0,,1419.0,105.0,553.0,
CASTILLA Y LEÓN,140113.0,2016,6.6,3600553.0,1473.0,12.0,3.0,21.0,,6537.0,435.0,2503.0,
CASTILLA-LA MANCHA,134633.0,2016,7.0,2675067.0,1309.0,19.0,2.0,7.0,,5247.0,60.0,412.0,
CATALUÑA,2516476.0,2016,4.7,10080967.0,1359.0,29.0,117.0,68.0,,4133.0,13111.0,17294.0,
EXTREMADURA,74004.0,2016,9.1,1680119.0,1554.0,10.0,2.0,7.0,,3558.0,56.0,374.0,
GALICIA,228502.0,2016,6.6,3862069.0,1424.0,14.0,6.0,18.0,,7444.0,239.0,2102.0,
LA RIOJA,34250.0,2016,5.5,437355.0,1399.0,3.0,,4.0,,805.0,,243.0,
MELILLA,,2016,,,,1.0,,,,168.0,,,
MELILLA,,2016,,101565.0,,1.0,,,,168.0,,,
MADRID,841958.0,2016,3.7,7862771.0,1220.0,32.0,12.0,37.0,,13854.0,1330.0,6294.0,
MURCIA,145807.0,2016,7.5,2196910.0,1496.0,10.0,3.0,14.0,,3175.0,109.0,1566.0,
NAVARRA,71706.0,2016,5.2,983464.0,1541.0,4.0,1.0,6.0,,1405.0,7.0,876.0,
PAÍS VASCO,244406.0,2016,5.4,3612664.0,1669.0,17.0,9.0,15.0,,5613.0,755.0,1592.0,
VALENCIA,273983.0,2016,6.3,6540704.0,1327.0,36.0,11.0,14.0,,10899.0,899.0,1547.0,
ANDALUCÍA,397981.0,2015,6.3,9157678.0,1090.0,46.0,43.0,17.0,,15089.0,3744.0,2036.0,
ARAGÓN,104600.0,2015,5.9,1948107.0,1474.0,17.0,2.0,10.0,,4129.0,337.0,909.0,
ASTURIAS,96460.0,2015,7.5,1601767.0,1534.0,9.0,5.0,6.0,,2761.0,165.0,833.0,
BALEARES,145011.0,2015,5.1,1441539.0,1276.0,7.0,7.0,10.0,,1995.0,629.0,1245.0,
CEUTA,,2015,,,,1.0,,,,252.0,,,
CEUTA,,2015,,109204.0,,1.0,,,,252.0,,,
CANARIAS,275626.0,2015,6.8,2745217.0,1290.0,9.0,7.0,22.0,,4155.0,352.0,3113.0,
CANTABRIA,30359.0,2015,6.7,827207.0,1418.0,3.0,,4.0,,1336.0,,682.0,
CASTILLA Y LEÓN,143402.0,2015,6.7,3580906.0,1453.0,12.0,3.0,21.0,,6548.0,447.0,2547.0,
CASTILLA-LA MANCHA,145867.0,2015,7.2,2672117.0,1301.0,19.0,4.0,5.0,,5290.0,130.0,348.0,
CATALUÑA,2450372.0,2015,4.8,9843829.0,1331.0,29.0,114.0,69.0,,4181.0,13014.0,17499.0,
EXTREMADURA,73141.0,2015,9.2,1639029.0,1507.0,10.0,2.0,7.0,,3669.0,56.0,403.0,
GALICIA,208974.0,2015,6.7,3808454.0,1398.0,14.0,6.0,18.0,,7297.0,239.0,2102.0,
LA RIOJA,36632.0,2015,5.5,434119.0,1388.0,3.0,,4.0,,792.0,,243.0,
MELILLA,,2015,,,,1.0,,,,170.0,,,
MELILLA,,2015,,98749.0,,1.0,,,,170.0,,,
MADRID,986377.0,2015,3.9,7934067.0,1239.0,32.0,13.0,35.0,,13922.0,1467.0,6278.0,
MURCIA,139102.0,2015,7.6,2159305.0,1475.0,10.0,3.0,14.0,,3161.0,109.0,1559.0,
NAVARRA,74455.0,2015,5.3,960990.0,1510.0,4.0,1.0,5.0,,1405.0,7.0,823.0,
PAÍS VASCO,239206.0,2015,5.4,3531083.0,1633.0,17.0,10.0,16.0,,5710.0,765.0,1712.0,
VALENCIA,289320.0,2015,6.5,6459931.0,1310.0,35.0,10.0,15.0,,11183.0,833.0,1605.0,
ANDALUCÍA,424344.0,2014,6.3,8737071.0,1041.0,46.0,42.0,18.0,,15186.0,3460.0,2242.0,
ARAGÓN,76444.0,2014,5.9,1899341.0,1430.0,17.0,2.0,10.0,,4107.0,337.0,907.0,
ASTURIAS,96240.0,2014,7.3,1517404.0,1440.0,9.0,5.0,6.0,,2802.0,165.0,869.0,
BALEARES,155805.0,2014,5.0,1332287.0,1189.0,7.0,7.0,10.0,,2004.0,629.0,1245.0,
CEUTA,,2014,,,,1.0,,,,252.0,,,
CEUTA,,2014,,104065.0,,1.0,,,,252.0,,,
CANARIAS,272345.0,2014,6.6,2604642.0,1230.0,9.0,6.0,22.0,,4144.0,340.0,3113.0,
CANTABRIA,30555.0,2014,6.7,802019.0,1368.0,4.0,,4.0,,1332.0,,684.0,
CASTILLA Y LEÓN,128361.0,2014,6.1,3164010.0,1273.0,13.0,3.0,20.0,,7172.0,525.0,1939.0,
CASTILLA-LA MANCHA,134045.0,2014,7.1,2517165.0,1217.0,19.0,4.0,5.0,,5297.0,132.0,348.0,
CATALUÑA,2299311.0,2014,4.7,9204675.0,1244.0,29.0,114.0,68.0,,4029.0,12925.0,17484.0,
EXTREMADURA,72451.0,2014,9.3,1587760.0,1452.0,10.0,3.0,7.0,,3644.0,182.0,347.0,
GALICIA,206492.0,2014,6.6,3553445.0,1297.0,14.0,6.0,18.0,,7563.0,239.0,2125.0,
LA RIOJA,36292.0,2014,5.5,419282.0,1335.0,3.0,,4.0,,792.0,,243.0,
MELILLA,,2014,,,,1.0,,,,170.0,,,
MELILLA,,2014,,92789.0,,1.0,,,,170.0,,,
MADRID,869932.0,2014,3.8,7421064.0,1164.0,32.0,12.0,37.0,,14016.0,1332.0,6482.0,
MURCIA,140490.0,2014,7.8,2074552.0,1418.0,10.0,5.0,12.0,,3125.0,314.0,1324.0,
NAVARRA,64490.0,2014,5.2,913535.0,1436.0,4.0,2.0,5.0,,1435.0,34.0,953.0,
PAÍS VASCO,238688.0,2014,5.5,3429506.0,1584.0,17.0,7.0,19.0,,5753.0,472.0,2012.0,
VALENCIA,322035.0,2014,6.1,5920865.0,1197.0,35.0,11.0,15.0,,11295.0,843.0,1606.0,
ANDALUCÍA,385456.0,2013,6.5,8811921.0,1051.0,46.0,41.0,19.0,,16289.0,3408.0,2477.0,
ARAGÓN,55854.0,2013,5.2,1655999.0,1241.0,17.0,2.0,10.0,,4121.0,330.0,953.0,
ASTURIAS,94680.0,2013,7.3,1520277.0,1430.0,9.0,5.0,6.0,,2983.0,165.0,869.0,
BALEARES,123164.0,2013,4.9,1278217.0,1149.0,7.0,4.0,11.0,,2004.0,353.0,1318.0,
CEUTA,,2013,,,,1.0,,,,252.0,,,
CEUTA,,2013,,101558.0,,1.0,,,,252.0,,,
CANARIAS,270790.0,2013,6.5,2552820.0,1211.0,9.0,7.0,21.0,,4194.0,430.0,3070.0,
CANTABRIA,30785.0,2013,6.8,801168.0,1361.0,4.0,1.0,3.0,,1332.0,30.0,637.0,
CASTILLA Y LEÓN,147746.0,2013,6.6,3391466.0,1353.0,13.0,3.0,21.0,,7172.0,525.0,2001.0,
